sess	T	C	R	O	M
1					
1					
1					
1				1.192	
1					
1					
1					
1	3.595				
1					
1					
1					
1					
1					
1					
1	7.798				
1					
1					
1					
1	10.201				
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1				20.394	
1					
1					
1	22.195				
1					
1					
1					
1	24.597				
1					
1					
1					
1	27				
1					
1					
1					
1					
1					
1					
1					
1					
1					
1	32.989				
1					
1					
1	34.79				
1					
1					
1					
1					
1					
1	38.394				
1					
1					
1	40.195				
1					
1					
1					
1					
1	43.198				
1					
1					
1					
1					
1					
1	46.801				
1					
1					
1					
1					
1					
1	50.405				
1					
1					
1	52.19				
1					
1					
1					
1					
1					
1	55.793				
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1	63				
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1	69.589				
1					
1					
1					
1	71.992				
1					
1					
1	73.793				
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1	81				
1					
1					
1	82.802				
1					
1					
1					
1	85.204				
1					
1					
1	86.989				
1					
1					
1					
1					
1					
1					
1					
1					
1	92.394				
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
1					
2					
2					
2					
2					
2	1.792				
2					
2					
2					
2					
2					
2	5.396				
2					
2					
2					
2					
2					
2					
2			9.6		
2					
2					
2					
2					
2	12.602				
2					
2					
2					
2	15.005				
2					
2					
2	16.79				
2					
2					
2					
2					
2					
2					
2					
2					
2					
2			22.795		
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2	32.404				
2					
2					
2					
2	34.79				
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2		41.997			
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2	48.603				
2					
2					
2	50.404				
2					
2					
2					
2	52.79				
2					
2					
2					
2		55.192			
2					
2					
2					
2					
2				58.195	
2					
2					
2	59.997				
2					
2					
2					
2	62.399				
2					
2					
2					
2	64.801				
2					
2					
2					
2	67.203				
2					
2					
2					
2					
2		70.189			
2					
2					
2					
2	72.592				
2					
2					
2					
2					
2					
2					
2			76.796		
2					
2					
2					
2				79.198	
2					
2					
2					
2				81.6	
2					
2					
2	83.402				
2					
2					
2	85.203				
2					
2					
2					
2					
2					
2					
2					
2				89.991	
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					99.6
2					
2					
2					
2	102.002				
2					
2					
2					
2				104.405	
2					
2					
2					
2					106.79
2					
2					
2					
2					
2					
2					
2					
2					
2					
2				112.796	
2					
2					
2					
2	115.198				
2					
2					
2					
2					
2	118.201				
2					
2					
2			120.002		
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2	126.592				
2					
2					
2					
2					
2	129.595				
2					
2					
2					
2			131.997		
2					
2					
2					
2					
2					
2	135.6				
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					
2				142.79	
2					
2					
2					
2					
2					
2					
2					
2					
2					
2					148.796
2					
2					
2					
